Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
BGD,7.07672624029,6.57221229185,6.21732990895,5.81106913669,5.39915668072,5.04948645216,4.55162764019,4.22964814885,3.8268303754,3.15353292233,2.75141807127,2.44077078652,2.20759732173,2.04417589574,1.8934949454,1.75081008901,1.64030162192,1.56241182359,1.48161263055,1.39681768018,1.3443825544,1.27800584579,1.23088551416,1.20375910068,1.15852201392,1.12976614961,1.11180224683
BLZ,0.184741661863,0.198255505749,0.210296227456,0.220080118825,0.229829771487,0.24133980092,0.246878649121,0.251139345818,0.252312285731,0.23918170392,0.224265841669,0.210269839122,0.190984625329,0.173679915673,0.157040046226,0.143190429921,0.130406763853,0.120882617095,0.113995463722,0.107503147566,0.101567485166,0.0978655728118,0.0942184927337,0.0900096226579,0.08965160871,0.0865859025173,0.0844222885675
BMU,0.0124007699073,0.0125285971983,0.0125902172818,0.0126239754832,0.0124569790654,0.0121316523778,0.0119525966478,0.0118009271545,0.0116871889711,0.0114093487323,0.011144160002,0.0108871272737,0.010840818023,0.0108210040758,0.0107049040872,0.0107200649566,0.0106584170146,0.0105646612511,0.0105058468166,0.0103401474833,0.0102899435737,0.0100436919646,0.00990679789053,0.00996279461437,0.00975003867047,0.0096731393324,0.00972233017896
BOL,0.416100457482,0.402783159059,0.389702256546,0.373643234937,0.351345642121,0.327798218569,0.301593035408,0.276050267046,0.250180176187,0.216827935051,0.189916243295,0.168088563944,0.15254798759,0.139738597324,0.130045775256,0.122888864333,0.116344096682,0.111033593689,0.106605634433,0.103022109733,0.0997354988116,0.0965552668734,0.0932007115626,0.0900461806926,0.0876451837995,0.085561354559,0.0828977845731
BRA,0.361055034833,0.336748835682,0.298828538146,0.261021174547,0.228738383252,0.190490051161,0.161493717632,0.13951507266,0.116526060077,0.10117901487,0.088973037629,0.0795673032212,0.0718362734429,0.0664435596426,0.0622490478873,0.0583631519447,0.05481621831,0.0513259647437,0.0485711551334,0.0462394998165,0.044187525421,0.0421164839886,0.0400874723301,0.0386651711111,0.0382345554958,0.037736036016,0.0384770501477
BTN,6.71243282924,10.4456917857,10.8999442102,10.5744657833,9.55207564248,7.1375028888,6.01084193607,5.50709906187,5.44242570722,5.37871872614,4.78488626403,4.64780632734,4.53862136231,4.17390801755,3.94492786711,3.79996599384,3.67575119604,3.61931004727,3.49192450378,3.41170501588,3.21267142946,3.08205058018,2.84189146538,2.60835002369,2.51999467435,2.45161815749,2.38372554462
BWA,1.32519468434,1.2841373444,1.30682344508,1.32935142311,1.34525419029,1.39873963244,1.46900693807,1.5493455717,1.54439190645,1.68662503211,1.71413766101,1.538336966,1.39671999131,1.36096782248,1.51645882064,1.41792869166,1.5512376534,1.29911024652,1.25731936511,1.16176198209,1.15497733421,1.15030334851,1.0011497652,0.985339114802,1.05600561732,1.12599707102,1.20235510059
CAF,52.1542532934,54.3056775975,55.283150927,58.5984288869,60.7870609996,63.9511840203,67.5896067557,70.0865709203,74.4355805078,79.9945406435,82.8070514534,85.9532471482,89.4211720225,94.0100074462,97.2425132555,98.7115429922,107.400675195,105.139616479,97.8020585992,89.6187282992,82.7872217906,74.7025685077,69.200711276,62.7738385979,60.6933186361,57.3914400867,54.723226929
CHN,0.0272350185944,0.026950838172,0.0262842832142,0.0250020787253,0.0243014360969,0.0231375403351,0.0227238011052,0.022001772672,0.0215952268668,0.0208311965766,0.0203924892132,0.0202548813035,0.0201828194829,0.0193738632454,0.0185207453158,0.0179363321634,0.0168168579537,0.0159931564439,0.0152393255235,0.0145741135879,0.0142121392963,0.013222852119,0.0126023750863,0.0123992343735,0.0126913927332,0.0123589917452,0.012487292204
CIV,128.188588827,131.729484704,132.071509458,135.27985272,135.698526353,138.337614207,139.939345264,139.829535645,143.099908083,144.311586106,147.788528614,157.098525794,161.460058111,167.592370331,170.861880244,170.557492259,172.128918009,170.902774007,167.043915821,160.915847424,152.849819144,139.491581858,117.635674026,100.457769126,93.2779051369,90.0547266265,87.8810139972
CMR,75.2232789592,80.5294861383,84.1816532189,88.4771533937,93.2760592154,98.5820410378,104.07899427,108.585379592,115.917899829,121.940638622,127.147619923,135.223426943,148.289564588,157.340512933,163.216688489,161.946986367,148.7540965,140.482027049,127.170705461,113.051238448,106.411809625,101.314662143,96.3477798086,95.8321698555,94.4674272688,92.5124756585,91.6744246017
COD,148.297056956,151.268521264,149.842940791,149.401086044,148.240835811,150.400816914,152.863599214,149.78349979,151.716316992,150.10851086,148.851747084,151.626643846,149.083662567,151.092882259,146.090738055,143.706637523,142.6349593,142.242491518,138.796100758,131.907238321,124.69533038,114.883853502,103.864661634,94.3280894463,89.0969305218,80.7643177363,77.8375071817
